Date,Positive,Negative,Neutral,NEO,NVolume,BTC,BVolume,ETH,EVolume
2020-09-10,13,8,2,18.453974,843038071,10363.138672,54406443211,368.101898,31421134556
2020-09-09,7,6,5,17.30776,727026328,10242.347656,24128292755,351.110016,14547933520
2020-09-08,6,6,2,17.064114,827408571,10131.516602,33430927462,337.602112,17991403432
2020-09-07,5,5,3,18.174307,783954342,10369.563477,33703098409,352.673492,21763614732
2020-09-06,20,23,6,17.206112,560823146,10280.351563,37071460174,353.362274,27643678917
2020-09-05,8,3,2,16.918985,669070430,10169.567383,44916565292,335.260071,29880047640
2020-09-04,15,7,1,19.068296,507832659,10511.813477,29965130374,388.24115,16747106257
2020-09-03,9,13,2,17.941965,490096919,10245.296875,31927261555,385.671936,19622845896
2020-09-02,9,4,0,20.361774,592770351,11414.03418,28037405299,440.040497,19691854014
2020-09-01,13,9,7,21.460566,993813266,11970.478516,27311555343,477.05191,18862763756
2020-08-31,9,10,7,20.503229,877057528,11680.820313,22285928250,435.079742,12774741797
2020-08-30,26,31,9,20.698889,1450491985,11711.505859,19760127945,428.395721,11211948040
2020-08-29,33,26,11,21.293692,1283333209,11506.865234,17485597759,399.921478,8777703481
2020-08-28,15,9,5,18.346434,643963972,11542.5,19807127588,395.874664,9120674421
2020-08-27,9,5,4,17.661085,847481772,11323.397461,23240415076,382.632629,10457777652
2020-08-26,12,4,6,17.403488,782546737,11488.363281,22466660958,386.466125,9967343483
2020-08-25,18,7,1,17.111137,662857960,11366.134766,26301509932,384.001038,12428442042
2020-08-24,9,5,1,18.14749,391584046,11774.595703,20681511755,408.144196,10328860398
2020-08-23,19,17,10,18.201612,441523289,11664.847656,18482062658,391.384491,8137303970
2020-08-22,20,7,5,18.935328,633241903,11681.825195,20224191306,395.835144,10131847985
2020-08-21,22,17,9,16.637613,662932816,11592.489258,23762425999,389.126343,11781796374
2020-08-20,30,19,2,17.803909,387346564,11878.37207,20175242945,416.439789,10043032427
2020-08-19,25,11,2,15.880054,353834519,11758.283203,24502851117,406.463776,13137391167
2020-08-18,17,7,8,16.229786,359768514,11991.233398,26043227672,423.669312,11978984079
2020-08-17,17,21,8,16.534651,418282962,12254.402344,28227687027,429.53125,13227089410
2020-08-16,27,17,9,15.494218,293764097,11892.803711,20583375490,433.786621,12168816874
2020-08-15,14,9,1,15.15236,301749015,11865.698242,23354924400,433.354919,12416067894
2020-08-14,16,11,8,14.842118,363039539,11768.871094,24237958589,437.397827,15064589987
2020-08-13,10,18,4,14.701738,346049328,11784.137695,27522199497,428.741791,18480303526
2020-08-12,9,8,3,14.490225,329256715,11584.93457,25064548486,391.02417,12408772745
2020-08-11,8,5,0,13.735791,563509492,11410.525391,27039782640,380.384064,12792218737
2020-08-10,38,25,7,14.523603,436597134,11878.111328,26114112569,395.887573,11685827893
2020-08-09,15,5,1,13.025418,221957306,11675.739258,17489608833,391.120453,9451065592
2020-08-08,13,6,3,13.066994,210311618,11754.045898,17572057837,393.987366,9342060531
2020-08-07,6,2,1,12.877262,526378769,11601.472656,23132312867,379.512848,12751687084
2020-08-06,6,5,4,13.001978,235371147,11779.773438,23400740340,394.961945,11304626458
2020-08-05,14,8,1,12.919535,212642928,11747.022461,24411254471,401.590576,12875466638
2020-08-04,7,5,1,12.514816,201039451,11205.892578,21250197042,389.875488,14086704221
2020-08-03,6,6,4,12.414816,237647861,11246.348633,20271713443,386.295166,12834648062
2020-08-02,15,13,6,12.186153,316352119,11053.614258,27410067336,370.671722,18909744275
2020-08-01,10,8,2,13.309617,361103260,11759.592773,26075670303,385.199707,14045259477
2020-07-31,9,4,1,12.176402,222960574,11323.466797,23160469766,345.554657,12030600492
2020-07-30,8,14,3,11.795262,191859692,11111.213867,22857247901,334.586639,11827689045
2020-07-29,9,9,5,11.702464,239367040,11100.467773,24617249715,318.190887,10878845706
2020-07-28,16,18,3,11.740729,305615652,10912.823242,28766551142,316.657257,12357108065
2020-07-27,16,9,3,11.583825,366814833,10990.873047,35359749590,321.514099,15644257058
2020-07-26,21,12,5,11.604653,235710938,9905.166992,20507998997,309.643616,12003973026
2020-07-25,18,14,7,11.594724,217249810,9677.113281,16610070933,304.056763,10785021813
2020-07-24,5,11,1,11.091013,245456357,9536.892578,16552768325,279.215424,9466060358
2020-07-23,9,7,8,11.403147,245506345,9581.072266,18146399002,274.689056,10281309262
2020-07-22,20,10,4,11.558718,235753231,9525.363281,16532254884,262.190643,7702077383
2020-07-21,23,21,11,11.166941,273392782,9374.887695,18069581956,245.016724,6806696015
2020-07-20,9,8,4,10.403728,160489697,9164.231445,13755604146,236.153168,5600686192
2020-07-19,7,1,2,10.634847,151392681,9185.817383,12939002784,238.487518,6251377305
2020-07-18,1,1,1,10.5357,157821212,9159.040039,12252601475,235.48381,5397402117
2020-07-17,6,2,1,10.599874,158743421,9151.392578,13944570749,232.773087,5859850529
2020-07-16,1,1,1,10.688467,209882278,9132.227539,15713967523,233.640884,5832057567
2020-07-15,4,8,2,10.983727,241189204,9192.836914,15844731575,238.423523,6189328448
2020-07-14,7,4,3,10.838569,216400091,9243.213867,18085038362,240.211487,7357458555
2020-07-13,9,4,5,10.694566,247490495,9243.614258,17519821266,239.604584,7787751468
2020-07-12,1,3,0,10.779842,204663086,9276.5,14452361907,242.131699,6596394718
2020-07-11,3,2,3,10.757443,245187858,9240.34668,13249910444,239.458176,5643067316
2020-07-10,0,1,0,10.52019,232407571,9278.807617,16860035605,240.984985,7281370522
2020-07-09,7,5,2,10.809083,251174576,9277.967773,18000702524,243.015961,8429099199
2020-07-08,5,6,3,11.069759,289682938,9428.333008,19702359883,246.670013,9892586411
2020-07-07,3,6,2,10.505599,213585229,9252.277344,13839652595,239.075531,6441497597
2020-07-06,6,4,3,10.560435,236715870,9375.474609,17889263252,241.510223,8782917553
2020-07-05,3,4,0,10.060059,184756291,9073.942383,12903406143,227.664597,5292172429
2020-07-04,3,1,0,9.959607,162747750,9132.488281,12290528515,229.074112,5228310135
2020-07-03,1,2,0,9.806395,155216023,9087.303711,13078970999,225.38707,5109032700
2020-07-02,7,3,2,10.060581,175906285,9123.410156,16338916796,229.392197,6212210566
2020-07-01,6,2,4,10.153276,212800588,9228.325195,15971550355,231.113419,6463737443
2020-06-30,2,2,2,10.041888,211748739,9137.993164,15735797744,226.315002,6094093001
2020-06-29,1,1,2,10.213277,280837180,9190.854492,16460547078,228.19487,6726164653
